datetime,pm25
2022-01-01 12:00,87.7
2022-01-02 12:00,87.6
2022-01-03 12:00,88.3
2022-01-04 12:00,94.9
2022-01-05 12:00,88.4
2022-01-06 12:00,77.5
2022-01-07 12:00,92.3
2022-01-08 12:00,87.6
2022-01-09 12:00,88.1
2022-01-10 12:00,90.8
2022-01-11 12:00,91.8
2022-01-12 12:00,99.3
2022-01-13 12:00,95.2
2022-01-14 12:00,90.9
2022-01-15 12:00,84.1
2022-01-16 12:00,81.9
2022-01-17 12:00,91.9
2022-01-18 12:00,100.4
2022-01-19 12:00,90.2
2022-01-20 12:00,89.0
2022-01-21 12:00,94.0
2022-01-22 12:00,78.1
2022-01-23 12:00,87.1
2022-01-24 12:00,93.4
2022-01-25 12:00,96.4
2022-01-26 12:00,87.4
2022-01-27 12:00,92.2
2022-01-28 12:00,91.0
2022-01-29 12:00,95.1
2022-01-30 12:00,79.8
2022-01-31 12:00,93.0
2022-02-01 12:00,76.2
2022-02-02 12:00,67.1
2022-02-03 12:00,83.0
2022-02-04 12:00,80.3
2022-02-05 12:00,94.4
2022-02-06 12:00,92.5
2022-02-07 12:00,77.2
2022-02-08 12:00,93.4
2022-02-09 12:00,78.3
2022-02-10 12:00,85.4
2022-02-11 12:00,83.4
2022-02-12 12:00,86.4
2022-02-13 12:00,91.7
2022-02-14 12:00,89.9
2022-02-15 12:00,87.2
2022-02-16 12:00,89.3
2022-02-17 12:00,87.5
2022-02-18 12:00,78.3
2022-02-19 12:00,77.2
2022-02-20 12:00,78.8
2022-02-21 12:00,86.2
2022-02-22 12:00,79.7
2022-02-23 12:00,100.0
2022-02-24 12:00,74.3
2022-02-25 12:00,71.7
2022-02-26 12:00,86.1
2022-02-27 12:00,90.9
2022-02-28 12:00,83.1
2022-03-01 12:00,85.3
2022-03-02 12:00,89.5
2022-03-03 12:00,76.9
2022-03-04 12:00,65.7
2022-03-05 12:00,72.3
2022-03-06 12:00,83.7
2022-03-07 12:00,64.0
2022-03-08 12:00,75.3
2022-03-09 12:00,76.5
2022-03-10 12:00,71.4
2022-03-11 12:00,79.2
2022-03-12 12:00,77.5
2022-03-13 12:00,90.8
2022-03-14 12:00,76.6
2022-03-15 12:00,66.2
2022-03-16 12:00,66.0
2022-03-17 12:00,63.2
2022-03-18 12:00,76.9
2022-03-19 12:00,64.2
2022-03-20 12:00,67.5
2022-03-21 12:00,73.5
2022-03-22 12:00,61.1
2022-03-23 12:00,63.9
2022-03-24 12:00,50.9
2022-03-25 12:00,56.3
2022-03-26 12:00,59.8
2022-03-27 12:00,67.0
2022-03-28 12:00,72.6
2022-03-29 12:00,62.2
2022-03-30 12:00,63.8
2022-03-31 12:00,62.4
2022-04-01 12:00,69.1
2022-04-02 12:00,66.9
2022-04-03 12:00,61.2
2022-04-04 12:00,50.3
2022-04-05 12:00,64.9
2022-04-06 12:00,60.1
2022-04-07 12:00,66.2
2022-04-08 12:00,55.4
2022-04-09 12:00,70.6
2022-04-10 12:00,51.4
2022-04-11 12:00,66.4
2022-04-12 12:00,53.8
2022-04-13 12:00,48.1
2022-04-14 12:00,42.5
2022-04-15 12:00,49.7
2022-04-16 12:00,61.6
2022-04-17 12:00,56.0
